date,close,volume,open,high,low,nextClose,,move 7 Day,move 30 Day
7/25/12,82.1385,219211.506,82.0657,82.9714,81.4285,82.1257,912,-4.5629,-0.17
7/26/12,82.1257,101611.05,82.8228,82.9143,81.48,83.5943,911,-4.58,0.3886
7/27/12,83.5943,100956.62,82.1443,83.69,81.6557,85.0043,910,-3.0142,1.9472
7/30/12,85.0043,94626.868,84.4171,85.6343,83.9743,87.2514,909,-2.7557,2.9858
7/31/12,87.2514,115373.055,86.1757,87.3857,86.1028,86.6871,908,0.9229,3.5686
8/1/12,86.6871,96002.719,87.9864,88.0571,86.1428,86.8271,907,0.4257,2.7714
8/2/12,86.8271,83023.385,86.12,87.2414,85.75,87.9571,906,0.9814,3.1498
8/3/12,87.9571,86083.296,87.6614,88.2828,87.3657,88.9357,905,5.8186,5.4328
8/6/12,88.9357,75488.233,88.1843,89.2668,87.8943,88.702,904,6.81,5.7786
8/7/12,88.702,72558.872,88.9671,89.2857,88.2914,88.5514,903,5.1077,7.1642
8/8/12,88.5514,60970.746,88.4843,89.1257,88.1571,88.6757,902,3.5471,6.8336
8/9/12,88.6757,55081.834,88.2643,88.8185,88.2571,88.8143,901,1.4243,6.6043
8/10/12,88.8143,48726.623,88.3871,88.8228,88.3857,90,900,2.1272,7.5215
8/13/12,90,69562.052,89.0557,90,89.0357,90.2414,899,3.1729,6.5715
8/14/12,90.2414,84939.075,90.2671,91.23,90.03,90.1185,898,2.2843,5.5957
8/15/12,90.1185,64307.325,90.1857,90.5714,89.6785,90.9057,897,1.1828,4.4885
8/16/12,90.9057,63601.368,90.1728,90.9657,90.0714,92.5871,896,2.2037,3.7714
8/17/12,92.5871,110457.373,91.4285,92.5985,91.2585,95.0214,895,4.0357,6.0328
8/20/12,95.0214,152992.536,92.8585,95.0214,92.8428,93.7231,894,6.3457,7.3229
8/21/12,93.7231,202792.581,95.8314,96.4114,92.9043,95.5528,893,4.9088,6.836
8/22/12,95.5528,140900.172,93.4885,95.5714,92.5871,94.6614,892,5.5528,9.2057
8/23/12,94.6614,104855.271,95.1585,95.7,94.45,94.746,891,4.42,9.1043
8/24/12,94.746,107074.132,94.2157,95.64,93.65,96.5257,890,4.6275,8.3217
8/27/12,96.5257,106575.802,97.1414,97.2671,96.22,96.4,889,5.62,9.8243
8/28/12,96.4,66709.096,96.4253,96.5857,95.8104,96.2094,888,3.8129,9.6943
8/29/12,96.2094,50544.551,96.4643,96.81,96.0857,94.8383,887,1.188,9.6009
8/30/12,94.8383,75514.273,95.8057,95.9363,94.6933,95.0343,886,1.1152,7.0783
8/31/12,95.0343,84463.495,95.3214,95.5143,93.8928,96.4243,885,-0.5185,8.7058
9/4/12,96.4243,91805.028,95.1085,96.4485,94.9285,95.7471,884,1.7629,10.1629
9/5/12,95.7471,83949.835,96.51,96.6214,95.6571,96.61,883,1.0011,9.9014
9/6/12,96.61,97738.999,96.1671,96.8985,95.8285,97.2057,882,0.0843,14.4715
9/7/12,97.2057,82228.185,96.8643,97.4971,96.5385,94.6771,881,0.8057,15.08
9/10/12,94.6771,121551.956,97.2071,97.6128,94.5857,94.37,880,-1.5323,11.0828
9/11/12,94.37,125760.918,95.0157,95.7285,93.7857,95.6843,879,-0.4683,9.3657
9/12/12,95.6843,177589.913,95.2643,95.7,93.7143,97.5685,878,0.65,8.4329
9/13/12,97.5685,149262.095,96.7671,97.9285,96.3957,98.7543,877,1.1442,10.8814
9/14/12,98.7543,149877.325,98.565,99.5685,98.27,99.9687,876,3.0072,11.9272
9/17/12,99.9687,98918.36,99.9071,99.9714,99.23,100.2728,875,3.3587,12.0116
9/18/12,100.2728,93139.368,99.9828,100.3328,99.4885,100.3,874,3.0671,11.3371
9/19/12,100.3,81575.714,100.0371,100.57,99.9385,99.8143,873,5.6229,11.598
9/20/12,99.8143,83949.835,99.88,100.0085,99.0885,100.0135,872,5.4443,11.2629
9/21/12,100.0135,142582.763,100.3443,100.7243,99.9088,98.6843,871,4.3292,11.3378
9/24/12,98.6843,159435.968,98.1228,99.3028,97.5714,96.22,870,1.1158,9.87
9/25/12,96.22,129376.629,98.3228,98.9685,96.1428,95.0257,869,-2.5343,6.22
9/26/12,95.0257,144088.393,95.5343,96.0985,94.4571,97.3314,868,-4.943,4.7843
9/27/12,97.3314,148037.514,94.8985,97.4528,94.3357,95.3007,867,-2.9414,7.2129
9/28/12,95.3007,133569.49,96.9643,97.3014,95.25,94.1985,866,-4.9993,4.395
10/1/12,94.1985,135694.481,95.88,96.6785,93.7857,94.4728,865,-5.6158,1.6114
10/2/12,94.4728,156293.037,94.5443,95.1928,92.95,95.9214,864,-5.5407,-0.5486
10/3/12,95.9214,105850.532,94.98,95.98,94.6614,95.2571,863,-2.7629,2.1983
10/4/12,95.2571,92516.018,95.8928,96.3214,95.0785,93.2271,862,-0.9629,-0.2957
10/5/12,93.2271,148189.554,95.0285,95.1428,93.04,91.1671,861,-1.7986,-1.4343
10/8/12,91.1671,159189.568,92.4114,92.5085,90.8728,90.8357,860,-6.1643,-3.5789
10/9/12,90.8357,209390.853,91.2357,91.4985,89.0785,91.5585,859,-4.465,-5.69
10/10/12,91.5585,127322.338,91.3914,92.14,91,89.7285,858,-2.64,-4.8415
10/11/12,89.7285,136341.211,92.3571,92.4571,89.7285,89.9591,857,-4.7443,-6.4809
10/12/12,89.9591,114883.754,89.9371,90.7685,89.3285,90.68,856,-5.9623,-4.8792
10/15/12,90.68,107948.432,90.3357,90.7328,89.1214,92.8275,855,-4.5771,-4.3543
10/16/12,92.8275,137208.791,90.7671,92.9,90.1428,92.0876,854,-0.3996,-3.5968
10/17/12,92.0876,97195.099,92.6957,93.2557,92,90.3771,853,0.9205,-3.6595
10/18/12,90.3771,119025.656,91.37,91.7228,90,87.12,852,-0.4586,-6.2329
10/19/12,87.12,185618.286,90.15,90.2528,87.0885,90.5757,851,-4.4385,-10.0857
10/22/12,90.5757,136374.671,87.4885,90.7685,87.2514,87.6222,850,0.8472,-4.1014
